Symbol,Date,Open,High,Low,Close,Volume
IQZ.IDX,06-Apr-2021,15375.63,15502.14,15362.31,15379.67,0
IVX.IDX,06-Apr-2021,1417.98,1422.78,1416.18,1418.4,0
IXB.IDX,06-Apr-2021,849.51,855.56,849.03,852.89,0
IXCO.IDX,06-Apr-2021,9544.05,9605.97,9518.17,9541.4,0
IXE.IDX,06-Apr-2021,516.31,523.96,512.4,512.9,0
IXF.IDX,06-Apr-2021,5900.6,5920.16,5884.04,5903.92,0
IXHC.IDX,06-Apr-2021,1206.08,1216.42,1199.33,1200.73,0
IXI.IDX,06-Apr-2021,1007.68,1013.42,1004.42,1005.33,0
IXM.IDX,06-Apr-2021,427.52,428.98,425.53,427.39,0
IXR.IDX,06-Apr-2021,693.87,699.71,692.58,696.94,0
IXTC.IDX,06-Apr-2021,490.53,495.94,489.83,495.29,0
IXU.IDX,06-Apr-2021,654.45,659.1,650.19,658.93,0
IXV.IDX,06-Apr-2021,1186.58,1189.64,1178.56,1180.5,0
IXY.IDX,06-Apr-2021,1751.1,1765.47,1748.58,1757.95,0
JX.IDX,06-Apr-2021,966.11,967.13,961.95,963.96,86683100
KDX.IDX,06-Apr-2021,114.55,114.9,114.39,114.7,0
KIX.IDX,06-Apr-2021,333.93,335.82,332.96,334.34,0
KLX.IDX,06-Apr-2021,56.76,57.05,56.07,56.23,0
KPX.IDX,06-Apr-2021,852.06,857.45,850.54,854.48,0
KRX.IDX,06-Apr-2021,122.66,123.48,121.46,122.19,0
KSX.IDX,06-Apr-2021,541.69,543.96,539.94,541.04,0
KYX.IDX,06-Apr-2021,59.42,59.85,59.33,59.56,0
LOWA.IDX,06-Apr-2021,0.01,0.01,0.01,0.01,0
LOWC.IDX,06-Apr-2021,1,1,1,1,0
LOWD.IDX,06-Apr-2021,0.01,0.01,0.01,0.01,0
LOWE.IDX,06-Apr-2021,18,18,18,18,0
